10.9.2018	19:03:45		start
10.9.2018	19:03:53	(660;506)	[(-7;-7);(1543;833)]	https://mail.ru
10.9.2018	19:03:56	(600;488)	[(-7;-7);(1543;833)]	https://news.mail.ru/society/35006792/?frommail=1
10.9.2018	19:04:35	(717;429)	[(-7;-7);(1543;833)]	https://news.mail.ru/society/35006792/?frommail=1
10.9.2018	19:04:43	(622;6)	[(-7;-7);(1543;833)]	https://news.mail.ru/society/35006792/?frommail=1
10.9.2018	19:04:44	(1472;2)	[(-7;-7);(1543;833)]	https://news.mail.ru/society/35006792/?frommail=1
10.9.2018	19:04:46	(869;14)	[(478;2);(1018;374)]	https://news.mail.ru/society/35006792/?frommail=1
10.9.2018	19:04:46	(674;42)	[(282;31);(822;403)]	https://news.mail.ru/society/35006792/?frommail=1
10.9.2018	19:04:47	(256;88)	[(193;54);(733;426)]	https://mail.ru
10.9.2018	19:04:53	(484;80)	[(193;54);(733;426)]	https://news.mail.ru/society/35006792/?frommail=1
10.9.2018	19:04:54	(538;80)	[(193;54);(733;426)]	https://news.mail.ru/society/35006792/?frommail=1
10.9.2018	19:04:57	(554;80)	[(193;54);(733;426)]	
10.9.2018	19:05:00	(431;323)	[(193;54);(733;426)]	https://yandex.ru
10.9.2018	19:05:11	(377;72)	[(193;54);(733;426)]	https://news.mail.ru/society/35006792/?frommail=1
10.9.2018	19:05:13	(372;145)	[(193;54);(733;426)]	https://linguatrip.com/ru/work_and_study/canada/?utm_source=marina&utm_medium=youtube&utm_campaign=work_study_canada
10.9.2018	19:05:18	(419;294)	[(193;54);(733;426)]	https://linguatrip.com/ru/work_and_study/canada/?utm_source=marina&utm_medium=youtube&utm_campaign=work_study_canada
10.9.2018	19:05:20	(718;67)	[(193;54);(733;426)]	
10.9.2018	19:06:18		start
10.9.2018	19:08:09	(500;68)	[(192;54);(734;428)]	
10.9.2018	19:08:09	(500;68)	[(-7;-7);(1543;833)]	
10.9.2018	19:08:34	(350;287)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:08:38	(554;226)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:08:39	(402;207)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:08:40	(388;195)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:08:40	(388;195)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:08:40	(388;195)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:08:41	(388;195)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:08:41	(413;266)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:08:42	(420;272)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:08:42	(474;294)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:08:42	(486;258)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:08:43	(490;269)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:08:52	(297;532)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:08:52	(409;519)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:08:53	(409;519)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:09:07	(263;211)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:09:08	(328;300)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:09:12	(432;251)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:09:13	(566;271)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:09:13	(566;271)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:09:13	(566;271)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:09:14	(566;271)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:09:14	(566;271)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:09:15	(566;271)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:09:16	(388;262)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:09:16	(408;261)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
10.9.2018	19:09:17	(410;254)	[(-7;-7);(1543;833)]	www.cyberforum.ru/cpp-builder/thread28216.html
